qst_deliver_message|Entregue a mensagem ao {s13}.
qst_deliver_message_to_enemy_lord|Entregue a mensagem ao {s13}.
qst_raise_troops|Reúna {reg1} {s14}.
qst_escort_lady|Escolte {s13} a {s14}.
qst_deal_with_bandits_at_lords_village|Salve a aldeia de {s15} dos bandidos saqueadores.
qst_collect_taxes|Arrecade os impostos de {s3}.
qst_hunt_down_fugitive|Cace {s4}.
qst_kill_local_merchant|Assassine um mercador local em {s3}.
qst_bring_back_runaway_serfs|Traga de volta os servos fugitivos.
qst_follow_spy|Siga o espião.
qst_capture_enemy_hero|Capture um Lorde de {s13}.
qst_lend_companion|Empreste seu companheiro {s3} a {s9}.
qst_collect_debt|Recolha a dívida que o {s3} deve ao {s9}.
qst_incriminate_loyal_commander|Incrimine o leal comandante de {s13}, {s16}.
qst_meet_spy_in_enemy_town|Encontre-se com o espião em {s13}.
qst_capture_prisoners|Traga {reg1} prisioneiros {s3}.
qst_lend_surgeon|Empreste seu cirurgião, {s3}, ao {s1}.
qst_follow_army|Siga o exército de {s9}.
qst_report_to_army|Faça um relatório para o {s13}, o Marechal do Reino.
qst_deliver_cattle_to_army|Entregue {reg3} cabeças de gado ao {s13}.
qst_join_siege_with_army|Una-se ao cerco de {s14}.
qst_screen_army|Observe o avanço do exército de {s13}.
qst_scout_waypoints|Explore {s13}, {s14} e {s15}.
qst_rescue_lord_by_replace|Resgate o {s13} de {s14}.
qst_deliver_message_to_prisoner_lord|Entregue a mensagem para {s13} em {s14}.
qst_duel_for_lady|Desafie o {s13} a um duelo por combate.
qst_duel_courtship_rival|Desafie o {s13} a um duelo por combate (opcional).
qst_duel_avenge_insult|Desafie o {s13} a um duelo por combate.
qst_move_cattle_herd|Leve o rebanho de gado a {s13}.
qst_escort_merchant_caravan|Escolte a caravana mercante até {s8}.
qst_deliver_wine|Entregue {reg5} unidades de {s6} em {s4}.
qst_troublesome_bandits|Cace os bandidos problemáticos.
qst_kidnapped_girl|Pague aos bandidos pelo resgate da donzela. 
qst_persuade_lords_to_make_peace|Certifique-se de que os dois Lordes não impeçam a paz.
qst_deal_with_looters|Cuide dos saqueadores.
qst_deal_with_night_bandits|Cuide dos bandidos noturnos.
qst_deliver_flour|Leve trigo para {s3}
qst_deliver_cattle|Entregue {reg5} cabeças de gado em {s3}.
qst_train_peasants_against_bandits|Treine os camponeses de {s13} para se defenderem contra os bandidos.
qst_eliminate_bandits_infesting_village|Liberte a aldeia de {s7} dos bandidos saqueadores.
qst_visit_lady|Visite uma dama.
qst_formal_marriage_proposal|Proposta formal de matrimônio.
qst_obtain_liege_blessing|Proposta formal de matrimônio.
qst_wed_betrothed|Case-se com sua prometida.
qst_wed_betrothed_female|Case-se com seu prometido.
qst_join_faction|Jure lealdade ao {s1}.
qst_rebel_against_kingdom|Ajude {s13} a reclamar o Trono do {s14}.
qst_consult_with_minister|Consulte-se com seu ministro.
qst_organize_feast|Organize um banquete.
qst_resolve_dispute|Resolva uma disputa.
qst_offer_gift|Adquira presentes.
qst_denounce_lord|Denuncie um Lorde.
qst_intrigue_against_lord|Conspire contra um Lorde.
qst_track_down_bandits|Localize os bandidos.
qst_track_down_provocateurs|Localize os desordeiros.
qst_retaliate_for_border_incident|Tome represálias por um incidente fronteiriço.
qst_raid_caravan_to_start_war|Ataque uma caravana neutra para provocar a guerra.
qst_cause_provocation|Organize uma provocação contra um reino para que ele ataque outro.
qst_rescue_prisoner|Resgate um prisioneiro.
qst_destroy_bandit_lair|Destrua a guarida dos bandidos.
qst_collect_men|Reúna cinco homens.
qst_learn_where_merchant_brother_is|Descubra onde os reféns estão sendo mantidos.
qst_save_relative_of_merchant|Ataque a guarida dos saqueadores.
qst_save_town_from_bandits|Salve a cidade dos bandidos.
qst_freelancer_enlisted|Alistado nas Tropas do {s13}
qst_freelancer_vacation|Alistado: sob dispensa.
qst_freelancer_captured|Alistado: capturado.
qst_floris_active_tournament|Participe do torneio em {s13}.
qst_quests_end|Fim das missões.
